route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
YELLOW SATURDAY,Y1 UISA,[@15.0.63192124@][1][1338413782899]/0__Y1_UISA,Champaign Walmart,0,Y1 UISA,[@14.0.57766396@]100N
ILLINI LIMITED SATURDAY,I2   UISA,[@6.0.14330204@][2][1622384445965]/41__I2___UISA,Transit Plaza,1,I2   UISA,ILLINI LIMITED WEEKEND 845
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/36__SV1_NONUISU,Lincoln Square,0,SV1 NONUISU,[@124.0.92241454@]4
TEAL,T1 NON UI MF,[@7.0.41893871@][4][1243540851671]/25__T1_NON_UI_MF,Illinois Terminal,1,T1 NON UI MF,12W TEAL 12
SILVER EVENING SUNDAY,SV1 UISU,[@124.0.92286725@][1484347296458]/92__SV1_UISU,Lincoln Square,0,SV1 UISU,[@124.0.92286725@]130N SILVER EVENING 1
YELLOW LATE NIGHT SUNDAY,Y2 UISU,[@124.0.92330667@][1484578259855]/7__Y2_UISU,Champaign Walmart,0,Y2 UISU,[@124.0.92330667@]100NLTNT->
YELLOW SATURDAY,Y5SA,[@15.0.63192124@][1][1338414280664]/9__Y5SA,Champaign Walmart,0,Y5SA,[@14.0.57766396@]100N
YELLOW SUNDAY,Y5 UISU,[@124.0.92236898@][1484325332995]/55__Y5_UISU,Savoy Walmart,1,Y5 UISU,[@124.0.92236898@]100S
GREY SATURDAY,GR2SA,[@15.0.73008535@][31][1401898680792]/5__GR2SA,Lincoln Square - Urbana Walmart,0,GR2SA,[@15.0.69172548@]1
SILVER SATURDAY,SV1 UISA,[@12.0.44184681@][1250945403296]/68__SV1_UISA,Lincoln Square,0,SV1 UISA,130N SILVER WEEKEND 2
GREEN LATE NIGHT SUNDAY,GR3 UISU,[@124.0.92345918@][1484579847669]/21__GR3_UISU,Illinois Terminal,1,GR3 UISU,[@124.0.92345918@]50W-LATE
GREEN LATE NIGHT,GN7 UIF,[@14.0.56288930@][3][1310416762630]/0__GN7_UIF,Lincoln Square,0,GN7 UIF,50E-LATE
BRONZE,BZ2 WED,[@14.0.51709163@][3][1277738203343]/0__BZ2_WED,Lincoln Square,0,BZ2 WED,8E
ILLINI EVENING SATURDAY,I5 UISA,[@124.0.92260187@][1484328831455]/218__I5_UISA,Lincoln & Killarney,0,I5 UISA,[@124.0.92260187@]220N ILLINI 10
ILLINI EVENING,I8 UIF,[@15.0.68513388@][2][1376321666614]/7__I8_UIF,PAR,1,I8 UIF,220S ILLINI 20
SILVER EVENING SATURDAY,SV1 UISA,[@124.0.92284627@][1484347218447]/94__SV1_UISA,PAR,1,SV1 UISA,[@124.0.92284627@]SILVER 121
GREENHOPPER EVENING,GR3 NONUIMF,[@124.0.118083819@][31][1541686032239]/0__GR3_NONUIMF,Sunnycrest,0,GR3 NONUIMF,[@15.0.68512960@]111
SILVER,SV4 NON UI NOSCH,[@12.0.42199629@][3][1246896590515]/43__SV4_NON_UI_NOSCH,Lincoln Square,0,SV4 NON UI NOSCH,SILVER 2
ORANGE,GN7 NONUIMF,[@2.0.86175868@][1458585713139]/96__GN7_NONUIMF,Round Barn Road - Plastipak,1,GN7 NONUIMF,[@2.0.86175868@]34
TEAL,T1 NON UI MF,[@7.0.41893871@][4][1243540851671]/29__T1_NON_UI_MF,Illinois Terminal,1,T1 NON UI MF,12W TEAL 12
GREY,GR1 MF NOSCH,2GR723__GR1_MF_NOSCH,Urbana Walmart,0,GR1 MF NOSCH,7E740->
ORANGEHOPPER,O4 MF,[@14.0.52435578@][3][1275675740468]/34__O4_MF,University & Cottage Grove,0,O4 MF,[@15.0.68513410@]21
GREEN,GN1 MF,[@14.0.51573013@][3][1284041816250]/0__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]57
ILLINI LIMITED SUNDAY,I1 NONUISU,[@6.0.14330187@][2][1622253008700]/43__I1_NONUISU,Transit Plaza,1,I1 NONUISU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
SILVER,SV3 UI MF,[@14.0.51709480@][2][1277756843828]/0__SV3_UI_MF,PAR,1,SV3 UI MF,SILVER 42
TEAL SATURDAY,T2 NONUISA,[@12.0.44194660@][1250946648828]/18__T2_NONUISA,Illinois Terminal,1,T2 NONUISA,TEAL WEEKEND 16
GREY,GR3 NONUIMF,[@2.0.80545657@][31][1425487371613]/0__GR3_NONUIMF,Urbana Walmart,0,GR3 NONUIMF,7E->LSG
BRONZE,BZ1 NOSCHMF,[@15.0.63192037@][3][1337951976131]/1__BZ1_NOSCHMF,Yankee Ridge - Lincoln Square,0,BZ1 NOSCHMF,[@15.0.63192037@]1
ILLINI,I7-1 & 2 UIMTH,[@7.0.41200832@][1][1238430123625]/3__I7-1_&_2_UIMTH,Lincoln & Killarney,0,I7-1 & 2 UIMTH,22N ILLINI 10
LAVENDER SUNDAY,L1 SU,[@15.0.71205318@][1381241976567]/36__L1_SU,Champaign Walmart,0,L1 SU,[@15.0.71205318@]30NIT->BB
SILVER LIMITED EVENING,SV2 NON UI,[@15.0.67924657@][2][1363728725942]/95__SV2_NON_UI,Transit Plaza,1,SV2 NON UI,[@15.0.67924657@]7
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/155__T1_UISA,Orchard Downs,0,T1 UISA,12E TEAL WEEKEND 13
SILVER,SV2 UI MF,[@12.0.42199629@][3][1246896590515]/40__SV2_UI_MF,Lincoln Square,0,SV2 UI MF,SILVER 2
RUBY EVENING,O4 MF,[@15.0.64613606@][2][1339515200981]/95__O4_MF,Lincoln Square,1,O4 MF,[@15.0.64613606@]4
YELLOW,Y5 NONUIMF,[@6.0.14329702@][2][1622058262710]/7__Y5_NONUIMF,Savoy Walmart,1,Y5 NONUIMF,[@14.0.56288722@]35
ILLINI,I8 UIMF,[@7.0.41200832@][1][1238430123625]/28__I8_UIMF,Lincoln & Killarney,0,I8 UIMF,22N ILLINI 10
GREEN,B1 MF,3R303__B1_MF,Lincoln Square,0,B1 MF,5EIU->LS
GREY SATURDAY,GN2 UISA,[@15.0.73008535@][32][1401899327184]/35__GN2_UISA,Round Barn Road,1,GN2 UISA,[@15.0.69172548@]2
RUBY,RUB2  WED,[@15.0.64600293@][1][1339519267236]/9__RUB2__WED,Airport & Cunningham,0,RUB2  WED,[@15.0.64600293@]1
YELLOW,Y3 MF,[@6.0.14329702@][1][1622066401834]/54__Y3_MF,Champaign Walmart,0,Y3 MF,[@15.0.63189004@]23
ILLINI,I5 UIF 1,[@7.0.41200832@][1][1238430123625]/42__I5_UIF_1,Lincoln & Killarney,0,I5 UIF 1,22N ILLINI 10
GREY SATURDAY,GR3SA,[@15.0.73008535@][32][1401899327184]/40__GR3SA,Round Barn Road,1,GR3SA,[@15.0.69172548@]2
TEAL,T1 UI MTWR,[@7.0.41893871@][3][1243541396687]/71__T1_UI_MTWR,Orchard Downs,0,T1 UI MTWR,12E TEAL 13
SILVER,SV4 NON UI SCH,[@12.0.42199629@][3][1246896590515]/53__SV4_NON_UI_SCH,Lincoln Square,0,SV4 NON UI SCH,SILVER 2
ILLINI EVENING SATURDAY,I2   UISA,[@124.0.92260187@][1484328831455]/27__I2___UISA,PAR,1,I2   UISA,[@124.0.92260187@]220S ILLINI 20
RED,R5 MF,[@14.0.56288404@][1][1302710188407]/3__R5_MF,Trails - Market Place - Ashland Park,0,R5 MF,[@14.0.56288404@]5
SILVER EVENING SATURDAY,SV1 UISA,[@124.0.92284627@][1484347218447]/132__SV1_UISA,Lincoln Square,0,SV1 UISA,[@124.0.92284627@]130N SILVER EVENING 2
SILVER,SV4 NON UI NOSCH,[@12.0.42199629@][4][1246896833000]/77__SV4_NON_UI_NOSCH,PAR,1,SV4 NON UI NOSCH,SILVER 120
SILVER,SV2 UI MF,[@12.0.42199629@][3][1246896590515]/35__SV2_UI_MF,Lincoln Square,0,SV2 UI MF,SILVER 2
SILVER SATURDAY,SV2 UISA,[@12.0.44184681@][1250945403296]/87__SV2_UISA,Lincoln Square,0,SV2 UISA,130N SILVER WEEKEND 1
SILVER LIMITED EVENING,SV2 NON UI,[@15.0.67924657@][1][1363725754977]/12__SV2_NON_UI,Lincoln Square,0,SV2 NON UI,[@15.0.67924657@]4
LAVENDER,L2 SCH MF,[@15.0.63192662@][2][1334601427303]/19__L2_SCH_MF,Illinois Terminal,1,L2 SCH MF,LAVENDER 2
SILVER EVENING SUNDAY,SV1 UISU,[@124.0.92286725@][1484347296458]/71__SV1_UISU,Lincoln Square,0,SV1 UISU,[@124.0.92286725@]130N SILVER EVENING 1
SILVER LATE NIGHT,SV4 UIMTH SCH,[@12.0.42230752@][3][1246897512562]/6__SV4_UIMTH_SCH,Lincoln Square,0,SV4 UIMTH SCH,130N SILVERLATE 2
ORANGE,GN7 NONUIMF,[@2.0.86175868@][1458585713139]/16__GN7_NONUIMF,Lincoln Square,0,GN7 NONUIMF,[@2.0.86175868@]ORANGE 17
SILVER SATURDAY,SV1 UISA,[@12.0.44184681@][1250945403296]/278__SV1_UISA,PAR,1,SV1 UISA,SILVER WEEKEND 31
SILVER,SV2 NON UI,[@12.0.42199629@][4][1246896833000]/69__SV2_NON_UI,PAR,1,SV2 NON UI,SILVER 120
GREY SATURDAY,GR4SA,[@15.0.73008535@][32][1401899327184]/33__GR4SA,Round Barn Road,1,GR4SA,[@15.0.69172548@]2
ILLINI LIMITED SUNDAY,I1 UISU,[@6.0.14330187@][1][1622252763821]/22__I1_UISU,Lincoln & Killarney,0,I1 UISU,[@6.0.14330187@]6
SILVER SATURDAY,SV1 UISA,[@12.0.44184681@][1250945403296]/268__SV1_UISA,Vet-Med,1,SV1 UISA,130S SILVER WEEKEND 3
PINK,P2 MF SCH,[@2.0.81838518@][12][1430161301181]/27__P2_MF_SCH,Round Barn Road,1,P2 MF SCH,[@2.0.81838518@]103
GREEN LATE NIGHT,GR3 UIMF,[@7.0.38112640@][3][1219153533843]/1__GR3_UIMF,Lincoln Square,0,GR3 UIMF,50E->50WLNIGHT
GREY SATURDAY,GR3SA,[@15.0.73008535@][31][1401898652823]/3__GR3SA,Lincoln Square - Urbana Walmart,0,GR3SA,[@15.0.69172548@]1
TEAL SUNDAY,T2 UISU,[@124.0.92229742@][1484323714302]/54__T2_UISU,Orchard Downs,0,T2 UISU,[@124.0.92229742@]12E TEAL WEEKEND 13
TEAL LATE NIGHT,T2-4 UI MF,[@7.0.41905826@][4][1246487009734]/10__T2-4_UI_MF,Illinois Terminal,1,T2-4 UI MF,120W TEAL LATE 12
SILVER LIMITED EVENING,SV2 NON UI,[@15.0.67924657@][1][1363725754977]/8__SV2_NON_UI,Lincoln Square,0,SV2 NON UI,[@15.0.67924657@]4
GREENHOPPER EVENING,R3 MF,[@14.0.50384734@][1270492238828]/33__R3_MF,Round Barn Road / Parkland College,1,R3 MF,HOPPER EV 62
BROWN,BB2 MF,[@2.0.80548152@][12][1425572286750]/24__BB2_MF,Parkland College,1,BB2 MF,[@15.0.61662606@]366
YELLOW SUNDAY,Y2 UISU,[@124.0.92236898@][1484325332995]/83__Y2_UISU,Savoy Walmart,1,Y2 UISU,[@124.0.92236898@]100S
YELLOW SUNDAY,Y1 SU,[@124.0.92236898@][1484325332995]/17__Y1_SU,Champaign Walmart,0,Y1 SU,[@124.0.92236898@]100N
ILLINI LIMITED SATURDAY,I1  UISA,[@6.0.14330204@][1][1622384291845]/18__I1__UISA,Lincoln & Killarney,0,I1  UISA,[@6.0.14330204@]6
GOLD ALT,10W UHS UMS,[@2.0.84927215@][1455575717330]/90__10W_UHS_UMS,Fairlawn & Vine,1,10W UHS UMS,[@2.0.84927215@]ORB2 UMS
ILLINI LIMITED SUNDAY,I2 NONUISU,[@6.0.14330187@][1][1622252763821]/13__I2_NONUISU,Lincoln & Killarney,0,I2 NONUISU,[@6.0.14330187@]6
ILLINI LIMITED,I1 NONUIMF,[@6.0.14327389@][1][1622146580806]/1__I1_NONUIMF,Lincoln & Killarney,0,I1 NONUIMF,[@6.0.14327389@]21
GOLDHOPPER,G2 MF,[@7.0.41987615@][4][1246632518062]/6__G2_MF,Lot E-14,1,G2 MF,GOLDHOPPER 1
SILVER,SV2 UI MF,[@12.0.42199629@][3][1246896440906]/7__SV2_UI_MF,Lincoln Square,0,SV2 UI MF,SILVER 2
SILVER,SV4 UIF SCH,[@12.0.42199629@][4][1248899238250]/0__SV4_UIF_SCH,PAR,1,SV4 UIF SCH,SILVER 120
LAVENDER,L2 SCH MF,[@15.0.63192662@][1][1334088165505]/12__L2_SCH_MF,Champaign Walmart,0,L2 SCH MF,[@15.0.63192662@]3
SILVER EVENING SATURDAY,SV1 UISA,[@124.0.92284627@][1484347218447]/144__SV1_UISA,Lincoln Square,0,SV1 UISA,[@124.0.92284627@]130N SILVER EVENING 2
LAVENDER SATURDAY,L1SA,[@15.0.63188981@][1][1334071396320]/18__L1SA,Champaign Walmart,0,L1SA,30NIT->BB
YELLOW LATE NIGHT SUNDAY,Y2 UISU,[@124.0.92330667@][1484578259855]/44__Y2_UISU,Lot E-14,1,Y2 UISU,[@124.0.92330667@]100SLTNT->
SILVER,SV4 NON UI NOSCH,[@12.0.42199629@][4][1246896960625]/127__SV4_NON_UI_NOSCH,PAR,1,SV4 NON UI NOSCH,SILVER 120
ILLINI EVENING SUNDAY,I2 UISU,[@124.0.92263401@][1484328944432]/154__I2_UISU,Lincoln & Killarney,0,I2 UISU,[@124.0.92263401@]220N ILLINI 10
BRONZE,BZ1 SCHMF,[@7.0.41201636@][4][1243606549343]/4__BZ1_SCHMF,Transit Plaza,1,BZ1 SCHMF,8W
ORANGE,O1 MF,[@2.0.86175868@][1458585713139]/91__O1_MF,Round Barn Road - Plastipak,1,O1 MF,[@2.0.86175868@]ORANGE 33
ILLINI LIMITED,I1 NONUIMF,[@6.0.14327389@][1][1622146809102]/16__I1_NONUIMF,Lincoln & Killarney,0,I1 NONUIMF,[@6.0.14327389@]10
ORANGEHOPPER,O3 MF,[@15.0.68513410@][3][1368193229378]/3__O3_MF,Lincoln Square,0,O3 MF,ORANGEHOPPER 11
LAVENDER,L1 MF,[@15.0.63192662@][1][1334087851811]/4__L1_MF,Champaign Walmart - Research Park,0,L1 MF,[@15.0.63192662@]4
GREY ALT,7W 5E #2 WED,[@2.0.84907145@][1455575595497]/9__7W_5E_#2_WED,John & Crescent,1,7W 5E #2 WED,[@2.0.84907145@]36
ILLINI LIMITED SATURDAY,I1  UISA,[@6.0.14330204@][2][1622384445965]/62__I1__UISA,Transit Plaza,1,I1  UISA,ILLINI LIMITED WEEKEND 845
YELLOW,Y5 NONUIMF,[@6.0.14329702@][2][1622063646669]/22__Y5_NONUIMF,Savoy Walmart,1,Y5 NONUIMF,YELLOW 14
ILLINI EVENING,I5 UIF,[@15.0.68513388@][2][1376321666614]/5__I5_UIF,PAR,1,I5 UIF,220S ILLINI 20
TEAL SATURDAY,T2 UISA,[@12.0.44194660@][1250946648828]/34__T2_UISA,Illinois Terminal,1,T2 UISA,TEAL WEEKEND 16
LIME SATURDAY,LM1SA,[@124.0.94415201@][11][1496415327969]/14__LM1SA,Kirby & Duncan,0,LM1SA,[@15.0.73009433@]51
GREEN SATURDAY,GN1SA,[@7.0.41202550@][4][1248702341796]/3__GN1SA,Round Barn Road,1,GN1SA,[@15.0.68513015@]219
YELLOW,Y2 UIMF,[@6.0.14329702@][1][1622064748260]/33__Y2_UIMF,Champaign Walmart,0,Y2 UIMF,YELLOW 7
SILVER LIMITED EVENING,SV2 NON UI,[@15.0.67924657@][2][1363728725942]/92__SV2_NON_UI,Transit Plaza,1,SV2 NON UI,[@15.0.67924657@]7
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/63__SV1_NONUISU,Transit Plaza,1,SV1 NONUISU,[@124.0.92241454@]7
GOLD,G2 MF,[@7.0.41203042@][3][1248901664468]/0__G2_MF,Richardson Estates,0,G2 MF,[@2.0.86232218@]426
ILLINI LIMITED,I1 NONUIMF,[@6.0.14327389@][2][1622151633960]/41__I1_NONUIMF,Transit Plaza,1,I1 NONUIMF,[@6.0.14327389@]15
ILLINI LIMITED SUNDAY,I2 NONUISU,[@6.0.14330187@][1][1622252763821]/23__I2_NONUISU,Lincoln & Killarney,0,I2 NONUISU,[@6.0.14330187@]6
ILLINI EVENING SATURDAY,I4 UISA,[@124.0.92260187@][1484328831455]/98__I4_UISA,PAR,1,I4 UISA,[@124.0.92260187@]220S ILLINI 20
LAVENDER SUNDAY,L2 SU,[@15.0.71205318@][1381241976567]/28__L2_SU,Champaign Walmart,0,L2 SU,[@15.0.71205318@]30NIT->BB
RED,R5 MF,[@14.0.56288404@][42][1305910274331]/0__R5_MF,Lincoln Square,1,R5 MF,RED 13
SILVER SUNDAY,SV1 UISU,[@124.0.92281033@][1484346076492]/81__SV1_UISU,Lincoln Square,0,SV1 UISU,[@124.0.92281033@]130N SILVER WEEKEND 1
1N YELLOW ALT,3N 7E SHOW,[@2.0.83502711@][1][1445980249284]/0__3N_7E_SHOW,Newton & Nobel,0,3N 7E SHOW,[@6.0.4563144@]22
RUBY EVENING SATURDAY,RUB1 SA,[@124.0.92246230@][1484327414903]/4__RUB1_SA,Lincoln Square,1,RUB1 SA,[@124.0.92246230@]2
GREEN SATURDAY,GR1SA,GN3SAT016__GR1SA,Orchard Downs,0,GR1SA,50E->PC
SILVER EVENING SATURDAY,SV1 UISA,[@124.0.92284627@][1484347218447]/126__SV1_UISA,Lincoln Square,0,SV1 UISA,[@124.0.92284627@]130N SILVER EVENING 2
GREEN ALT,GN9 SHOW,[@2.0.84887452@][1455575490653]/18__GN9_SHOW,Race & Iowa,1,GN9 SHOW,[@2.0.84887452@]GREEN 2
SILVER,SV4 UIMTH SCH,[@12.0.42199629@][4][1246896833000]/84__SV4_UIMTH_SCH,PAR,1,SV4 UIMTH SCH,SILVER 120
ILLINI LIMITED,I2 NONUIMF,[@6.0.14327389@][2][1622151633960]/46__I2_NONUIMF,Transit Plaza,1,I2 NONUIMF,[@6.0.14327389@]15
YELLOW SATURDAY,Y2 UISA,[@15.0.63192124@][1][1338414280664]/16__Y2_UISA,Champaign Walmart,0,Y2 UISA,[@14.0.57766396@]100N
PINK,P2 MF SCH,[@2.0.81838518@][12][1430161313741]/32__P2_MF_SCH,Round Barn Road,1,P2 MF SCH,[@2.0.81838518@]103
ILLINI EVENING,I4-3 UIF,[@7.0.41950648@][1244056065453]/121__I4-3_UIF,Lincoln & Killarney,0,I4-3 UIF,220N ILLINI 10
SILVER EVENING SATURDAY,SV1 UISA,[@124.0.92284627@][1484347218447]/112__SV1_UISA,Lincoln Square,0,SV1 UISA,[@124.0.92284627@]130N SILVER EVENING 2
ORANGE,O2 MF,[@2.0.86175868@][1458585713139]/68__O2_MF,Butzow & Lierman,0,O2 MF,[@2.0.86175868@]7
SILVER,SV2 NON UI,[@12.0.42199629@][3][1246896590515]/34__SV2_NON_UI,Lincoln Square,0,SV2 NON UI,SILVER 2
ILLINI,I3 UIMTH,[@7.0.41200832@][1][1238430123625]/1__I3_UIMTH,Lincoln & Killarney,0,I3 UIMTH,22N ILLINI 10
SILVER LIMITED EVENING SATURDAY,SV1 NONUISA,[@124.0.92350475@][1484580809807]/55__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@124.0.92350475@]2
LIME SATURDAY,LM2SA,[@124.0.94415201@][12][1496415811662]/22__LM2SA,Duncan & Bradley,1,LM2SA,[@15.0.73009433@]43
SILVER EVENING SUNDAY,SV1 UISU,[@124.0.92286725@][1484347296458]/70__SV1_UISU,Lincoln Square,0,SV1 UISU,[@124.0.92286725@]130N SILVER EVENING 1
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/0__SV2_UISA,Vet-Med,1,SV2 UISA,[@124.0.92284627@]130S SILVER EVENING 3
BRONZE,T1 UI MTWR,[@7.0.41201636@][4][1248385284015]/0__T1_UI_MTWR,Orchard Downs,1,T1 UI MTWR,BRONZE 6
GREEN SATURDAY,GN4SA,GN5SAT014__GN4SA,Orchard Downs,0,GN4SA,50E->PC
GREEN LATE NIGHT SATURDAY,GN2 UISA,[@124.0.92344750@][1484579800344]/2__GN2_UISA,Illinois Terminal,1,GN2 UISA,[@124.0.92344750@]50W-LATE
GREEN EXPRESS,I8 4S UI SCH,5GNX304__I8_4S_UI_SCH,Round Barn Road,1,I8 4S UI SCH,5WX->CF
ILLINI LIMITED EVENING SATURDAY,I1 NONIUSA,[@6.0.14330915@][1][1622384693780]/15__I1_NONIUSA,Lincoln & Killarney,0,I1 NONIUSA,[@124.0.92348983@]22N 316
1N YELLOW ALT PM,N3 MTTF,[@6.0.4564311@][1][1610659918632]/0__N3_MTTF,Alternate,0,N3 MTTF,4W BLUE ALT PM 1440
TEAL LATE NIGHT SUNDAY,T1 UISU,[@124.0.92276155@][1484344792164]/24__T1_UISU,Orchard Downs,0,T1 UISU,[@124.0.92276155@]120E TEAL LATE 13
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/78__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
ILLINI LIMITED EVENING SATURDAY,I2  NONUISA,[@6.0.14330915@][1][1622384693780]/12__I2__NONUISA,Lincoln & Killarney,0,I2  NONUISA,[@124.0.92348983@]22N 316
BLUE,B4 SCH MTTF,[@14.0.56288268@][4][1302636703862]/14__B4_SCH_MTTF,Round Barn Road,1,B4 SCH MTTF,4W
TEAL,T3 UI MF,[@14.0.51708725@][4][1275506079140]/5__T3_UI_MF,Illinois Terminal,1,T3 UI MF,TEAL 23
ORANGE,GN7 UIMTWR,[@2.0.86175868@][1458585713139]/18__GN7_UIMTWR,Lincoln Square - US 150 & Dodson,0,GN7 UIMTWR,[@2.0.86175868@]19
GOLD,G1 MF,[@7.0.41203042@][4][1248896451640]/0__G1_MF,Mattis & Devonshire,1,G1 MF,GOLD 72
GREENHOPPER EVENING,GN3 NOSCH,[@14.0.50384734@][1270492238828]/3__GN3_NOSCH,Sunnycrest,0,GN3 NOSCH,HOPPER EV 107
RED,R5 MF,[@14.0.56288404@][1][1302710320617]/5__R5_MF,Trails - Market Place - Ashland Park,0,R5 MF,[@14.0.56288404@]5
RUBY SATURDAY,RUB1 SA,[@15.0.64657075@][1339528341508]/9__RUB1_SA,Lincoln Square,1,RUB1 SA,[@15.0.64657075@]2
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/21__T1_UISA,Illinois Terminal,1,T1 UISA,TEAL WEEKEND 16
GREEN EVENING,L2 NO SCH MF,[@7.0.41201218@][3][1243953666265]/1__L2_NO_SCH_MF,Orchard Downs,0,L2 NO SCH MF,GREEN EVENING 52
TEAL EVENING,T1 NON UI MF,[@7.0.41903462@][4][1243545654281]/13__T1_NON_UI_MF,Illinois Terminal,1,T1 NON UI MF,TEAL EVENING 12
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/132__T1_UISA,Orchard Downs,0,T1 UISA,12E TEAL WEEKEND 13
SILVER LIMITED EVENING,SV2 NON UI,[@15.0.67924657@][2][1363728725942]/85__SV2_NON_UI,Transit Plaza,1,SV2 NON UI,[@15.0.67924657@]7
BLUE,B4 NOSCHMF,[@14.0.56288268@][3][1302635354802]/19__B4_NOSCHMF,Illinois Terminal,0,B4 NOSCHMF,BLUE 51
BRONZE,BZ2 SCH MTTF,[@14.0.51709163@][4][1277737126250]/0__BZ2_SCH_MTTF,Transit Plaza,1,BZ2 SCH MTTF,8W
ORANGE,O2 MF,[@2.0.86175868@][1458585713139]/43__O2_MF,Round Barn Road,1,O2 MF,[@2.0.86175868@]25
LAVENDER SATURDAY,L1SA,[@15.0.63188981@][2][1334072086256]/35__L1SA,Illinois Terminal,1,L1SA,30SBB->IT
BRONZE,BZ1 SCHMF,[@15.0.63192037@][3][1337951997335]/3__BZ1_SCHMF,Yankee Ridge - Lincoln Square,0,BZ1 SCHMF,[@15.0.63192037@]1
BLUE,B2 MF,[@14.0.56288268@][3][1302635044324]/13__B2_MF,Illinois Terminal,0,B2 MF,BLUE 51
ORANGEHOPPER,O1 MF,[@15.0.68513410@][3][1368193229378]/2__O1_MF,Lincoln Square,0,O1 MF,ORANGEHOPPER 11
SILVER,SV4 UIMTH SCH,[@12.0.42199629@][4][1246896833000]/74__SV4_UIMTH_SCH,PAR,1,SV4 UIMTH SCH,SILVER 120
LAVENDER SATURDAY,L2SA,[@15.0.63188981@][2][1334072065990]/28__L2SA,Illinois Terminal,1,L2SA,30SBB->IT
ILLINI EVENING SUNDAY,I5 UISU,[@124.0.92263401@][1484328944432]/267__I5_UISU,PAR,1,I5 UISU,[@124.0.92263401@]220S ILLINI 20
GREY ALT,7E #2 SHOW WED,[@6.0.4562822@][31][1610722440443]/0__7E_#2_SHOW_WED,Fifth & Beardsley,0,7E #2 SHOW WED,[@2.0.84907145@]331
GOLD,G3 MF,[@7.0.41203042@][4][1246652832718]/15__G3_MF,Mattis & Devonshire,1,G3 MF,10WLSG->
LINK,LN3 MF,[@6.0.15252684@][2][1622672028480]/58__LN3_MF,Water Survey,1,LN3 MF,[@6.0.15252684@]2
ILLINI EVENING SUNDAY,I5 UISU,[@124.0.92263401@][1484328944432]/18__I5_UISU,Lincoln & Killarney,0,I5 UISU,[@124.0.92263401@]220N ILLINI 10
ILLINI LIMITED SUNDAY,I1 UISU,[@6.0.14330187@][1][1622252512673]/0__I1_UISU,Lincoln & Killarney,0,I1 UISU,[@6.0.14330187@]6
RUBY,RUB2 SCHMTTF,[@15.0.64600293@][1][1340052749691]/2__RUB2_SCHMTTF,Airport & Cunningham,0,RUB2 SCHMTTF,[@15.0.64600293@]1
LAVENDER SUNDAY,L1 SU,[@15.0.71205318@][1381241976567]/10__L1_SU,Illinois Terminal,1,L1 SU,[@15.0.71205318@]30SBB->IT
TEAL LATE NIGHT SUNDAY,T2 UISU,[@124.0.92276155@][1484344792164]/25__T2_UISU,Orchard Downs,0,T2 UISU,[@124.0.92276155@]120E TEAL LATE 13
LAVENDER,L2 SCH MF,[@15.0.63192662@][2][1334589837818]/4__L2_SCH_MF,Illinois Terminal,1,L2 SCH MF,3S->IT
10W GOLD ALT,10W UHS UMS,[@36.0.28512748@][4][1175208157878]/0__10W_UHS_UMS,Race & Iowa,1,10W UHS UMS,10W GOLD ALT 1
ILLINI EVENING SATURDAY,I5 UISA,[@124.0.92260187@][1484328831455]/142__I5_UISA,PAR,1,I5 UISA,[@124.0.92260187@]220S ILLINI 20
BRONZE,BZ1 SCHMF,[@15.0.63192037@][4][1337952855101]/8__BZ1_SCHMF,Yankee Ridge - Transit Plaza,1,BZ1 SCHMF,[@15.0.63192037@]4
TEAL,T1 UI MTWR,[@14.0.51708725@][4][1284043990640]/1__T1_UI_MTWR,Illinois Terminal,1,T1 UI MTWR,TEAL 27
SILVER EVENING SATURDAY,SV1 UISA,[@124.0.92284627@][1484347218447]/93__SV1_UISA,PAR,1,SV1 UISA,[@124.0.92284627@]SILVER 121
GREENHOPPER,GNX5 MF,[@7.0.41101146@][3][1237929928359]/2__GNX5_MF,Washington & Lierman,0,GNX5 MF,5E HOPPER 79
SILVER,SV2 NON UI,[@12.0.42199629@][3][1246896590515]/58__SV2_NON_UI,Lincoln Square,0,SV2 NON UI,SILVER 2
SILVER EVENING SATURDAY,SV1 UISA,[@124.0.92284627@][1484347218447]/77__SV1_UISA,PAR,1,SV1 UISA,[@124.0.92284627@]SILVER 121
ILLINI LIMITED SUNDAY,I2 NONUISU,[@6.0.14330187@][2][1622253008700]/48__I2_NONUISU,Transit Plaza,1,I2 NONUISU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
